id logtype campaign_id userid
6221536724169523287 2 1396020 6096033656594890947
6221536724167557277 0 1396020 6162923825154424912
6221536724159169087 0 0 6143973458806571215
6221536724173914269 0 0 6162923825154424912
6221536724161986752 0 1450786 6217084204575949772
6221536724173193408 0 0 6217084204575949772
6221536724180074688 0 0 6217084204575949772
6221536724201898560 0 0 6191859178750018111
6221536724179484829 0 1365972 6162923825154424912
6221536728456036927 2 1396020 6041838552386175031
6221536728448434383 2 1396020 6096033656594890947
6221536728477401663 0 1396020 6041838552386175031
6221536728482971805 2 1450768 6044470723081602008
6221536728502304955 2 1450768 6219940001367916632
6221536724202947135 0 1396020 6026733178156286024
6221536728450400832 0 1396020 6200905316168171533
6221536728488870045 0 0 6044470723081602008
6221536728472223831 0 0 6096033656594890947
6221536728459772480 0 0 6200905316168171533
6221536728480678463 0 0 6041838552386175031
6221536728481595967 0 0 6026733178156286024
6221536728490901661 0 0 6044470723081602008
6221536728474452544 0 1289896 6200905316168171533
6221536728454594767 2 1450786 6221536651172446415
6221536724224114775 0 352777 6140508416609485784
6221536728484151871 0 1365972 6041838552386175031
6221536728498372695 0 1365972 6096033656594890947
6221536732746875455 0 1289896 6041838552386175031
6221536732780953687 0 1404996 6096033656594890947
6221536728507154619 0 0 6219940001367916632
6221536732763455675 0 1411510 6219940001367916632
6221536732743467195 0 0 6219940001367916632
6221536732769878592 0 1451641 6221536419258040896
6221536732785148091 0 1450768 6219940001367916632
6221536732749496507 2 1450768 6219940001367916632
6221536732784034368 0 38648 6173914315760926844
6221536737072775375 0 0 6221536651172446415
6221536741332222109 2 1396020 6193258655180915670
6221536741355487389 0 1396020 6193258655180915670
6221536741330911389 0 1411510 6162923825154424912
6221536741361385629 0 0 6193258655180915670
6221536741349851293 0 1451641 6162923825154424912
6221536741344542927 2 1450786 6219724359623966809
6221536741348999375 0 0 6219724359623966809
6221536741350506653 0 352777 6198490058496999611
6221536741374230715 0 352777 6023142542546108428
6221536741387206863 0 1450786 6219724359623966809
6221536741366104221 0 1365972 6193258655180915670
6221536741353980111 2 1450786 6219724359623966809
6221536741353652799 0 38648 6143973458806571215
6221536745644359837 0 1451641 6193258655180915670
6221536745625419933 0 0 6169544641812693372
